Designator,Mid X,Mid Y,Rotation,Layer
C10,101.725,-101.5,180.0,top
C5,100.0,-128.0,90.0,top
C6,112.0,-110.0,90.0,top
C7,106.225,-79.5,0.0,top
C9,101.5,-99.0,180.0,top
D1,125.28,-128.545,90.0,top
D2,128.77,-112.4625,90.0,top
D3,131.77,-106.9625,90.0,top
J1,132.52,-129.3375,0.0,top
J2,147.27,-103.68,0.0,top
J4,115.5,-103.77,180.0,top
R1,111.5,-90.0,180.0,top
R2,134.27,-121.675,90.0,top
R3,131.27,-121.675,270.0,top
R4,125.27,-124.855,270.0,top
R5,128.85,-108.7725,270.0,top
R6,131.85,-103.2725,270.0,top
SW1,137.77,-108.175,180.0,top
SW2,105.5,-86.0,0.0,top
U2,132.905,-84.0,0.0,top
U3,106.19,-119.81,180.0,top
U4,107.99,-99.0,180.0,top
